姓名,照片,个人详情,职称,系别,研究方向,讲授课程,电话
许开全,https://www.rmbs.ruc.edu.cn/images/2024-05/164d13a9581842fda56fcaf95620cd57.png,https://www.rmbs.ruc.edu.cn/szyky/sz/qzjs/xkq/,教授,市场营销系,人工智能与营销、营销中的非结构化数据,《市场营销原理》,全职教师 - 人大商学院 | RMBS
刘松青,https://www.rmbs.ruc.edu.cn/images/2024-04/2ba05c25f05445cfa2a3ef0e12d06183.png,https://www.rmbs.ruc.edu.cn/szyky/sz/qzjs/lsq/,副教授,会计系,财务会计，审计，公司财务，公司治理，会计信息披露,会计学，财务会计学，审计学,
李一夫,https://www.rmbs.ruc.edu.cn/images/2023-12/e09f815d014541e5832b5cb1f0a7a855.png,https://www.rmbs.ruc.edu.cn/szyky/sz/qzjs/lyf/,讲师(助理教授),会计系,审计，文本分析,Python基础与自然语言处理（硕博）,
闫景达,https://www.rmbs.ruc.edu.cn/images/2023-12/eb3c97ecc30d418ca074b271d899cf9e.png,https://www.rmbs.ruc.edu.cn/szyky/sz/qzjs/yjd/,讲师(助理教授),财务与金融系,"实证资产定价定价，大数据与机器学习，Cross-stock Momentum, Option Returns",,
马鹏程,https://www.rmbs.ruc.edu.cn/images/2023-12/c8f75054175841508061cf8e91b5a376.png,https://www.rmbs.ruc.edu.cn/szyky/sz/qzjs/mpc/,讲师（助理教授）,企业管理系,国际化战略，企业集团,,
刘靓晨,https://www.rmbs.ruc.edu.cn/images/2023-11/baeec8c0987943fdaeab4ab73957e04d.png,https://www.rmbs.ruc.edu.cn/szyky/sz/qzjs/ljc/,讲师(助理教授),管理科学与工程系,运营管理和营销；区块链与供应链管理；收益管理与定价；策略型消费者；零工经济；供应链金融,"Quality Management（Global BBA本科生专业选修课）；
学术规范和论文写作（硕博专业必修课）；
博弈与社会（本科生专业选修课）",
曹伟,https://www.rmbs.ruc.edu.cn/images/2022-10/0ebcdb23c8ad419f8e5b0cf0511e5978.jpg,https://www.rmbs.ruc.edu.cn/szyky/sz/qzjs/cw/,教授,会计系,会计理论与方法、国际会计与会计准则、成本会计与成本管理,中级财务会计、高级财务会计、会计理论、国际会计准则专题、成本管理会计等,
陈曼璐,https://www.rmbs.ruc.edu.cn/images/2022-10/e066f6c75953489ca262cdbe81715049.jpg,https://www.rmbs.ruc.edu.cn/szyky/sz/qzjs/cml/,讲师(助理教授),管理科学与工程系,服务运营管理，医疗运营管理，排队经济学，新型商业模式运营,"本科：电子商务（英文），供应链管理；
硕博：博弈论，产业组织理论",
陈智勇,https://www.rmbs.ruc.edu.cn/images/2022-10/fd9f6cff3a3843bc843a73bf5fb01605.png,https://www.rmbs.ruc.edu.cn/szyky/sz/qzjs/czy1/,副教授,市场营销系,新产品开发、网络营销,新产品开发、营销模拟、市场营销原理,
陈志远,https://www.rmbs.ruc.edu.cn/images/2022-10/24c7c795c8c949ba803cc0c25d0b105c.jpg,https://www.rmbs.ruc.edu.cn/szyky/sz/qzjs/czy/,讲师(助理教授),贸易经济系,产业经济学，国际贸易，宏观发展，应用计量,"硕博课程：《经济学与商务实证研究方法》，《产业政策前沿》
MBA课程：《管理经济学》",
成栋,https://www.rmbs.ruc.edu.cn/images/2022-10/5d6c93ae7184442cac93bcefa121822c.jpg,https://www.rmbs.ruc.edu.cn/szyky/sz/qzjs/cd/,教授,企业管理系,管理信息系统、电子商务,管理信息系统、电子商务,
程鑫,https://www.rmbs.ruc.edu.cn/images/2022-10/9082c423dafa4938805e9fc5b7493d1c.jpg,https://www.rmbs.ruc.edu.cn/szyky/sz/qzjs/cx/,讲师(助理教授),会计系,公司治理、公司财务、管理层信息披露、市政债券,,
楚燕来,https://www.rmbs.ruc.edu.cn/images/2022-10/b556b55cb7b24b4f8f45854d08a827b7.jpg,https://www.rmbs.ruc.edu.cn/szyky/sz/qzjs/cyl/,讲师(助理教授),市场营销系,品牌资产，直播电商，共享经济，汽车市场，产业政策评估，消费者自我控制,"品牌管理（英），本科
论文写作，本科
营销决策模型，本科
营销模型专题II，硕博
管理整合II, MBA",
戴德明,https://www.rmbs.ruc.edu.cn/images/2022-10/7d2966f1817e4b509f6aff4378bd1209.jpg,https://www.rmbs.ruc.edu.cn/szyky/sz/qzjs/ddm/,教授,会计系,财务会计、会计理论,《高级会计学》、《会计理论》、《财务会计理论与实务》,
戴璐,https://www.rmbs.ruc.edu.cn/images/2022-10/de0ed3b7dbf84497bfd38d181bf2ae69.jpg,https://www.rmbs.ruc.edu.cn/szyky/sz/qzjs/dl/,副教授,会计系,管理会计、公司治理,本科：管理会计（专业必修课，2017年中国人民大学本科课程示范教学大纲）、 BI与可视化、商业智能与管理会计；专业硕士：高级管理会计理论与实务（全日制、在职）；硕博项目：会计研究设计,
丁瑛,https://www.rmbs.ruc.edu.cn/images/2022-10/e6b5b51e22f64d32b0af86936a223a71.jpg,https://www.rmbs.ruc.edu.cn/szyky/sz/qzjs/dy/,副教授,市场营销系,消费心理与行为；数字化营销；绿色消费与可持续营销,消费者行为（MBA）、Consumer Behavior（纯英文授课，面向国际交换生）、认知心理学（硕博连读生）、管理整合（MPAcc）,
杜佳霖,https://www.rmbs.ruc.edu.cn/images/2022-10/ec8864c4d3194d7c9a980b0db0c35c2c.jpg,https://www.rmbs.ruc.edu.cn/szyky/sz/qzjs/djl/,讲师(助理教授),贸易经济系,制度环境与跨国公司管理、国际化战略,国际管理（本科生、全英文）、跨国公司经营与管理（MIB硕士、全英文）、论文写作（本科生）、学术论文写作与规范（博士生）,
冯云霞,https://www.rmbs.ruc.edu.cn/images/2022-10/76c51c853bbf4513b53a30986ff6410d.jpg,https://www.rmbs.ruc.edu.cn/szyky/sz/qzjs/fyx/,教授,组织与人力资源系,管理沟通、双维行动学习、人力资源管理,人力资源管理、管理沟通、管理者学习方法论,
冯志玉,https://www.rmbs.ruc.edu.cn/images/2022-10/bd3ed2dc89d64773b9668dc2c8f37d55.jpg,https://www.rmbs.ruc.edu.cn/szyky/sz/qzjs/fzy/,讲师(助理教授),组织与人力资源系,领导力、行为道德、组织公民行为、决策,,
付彦,https://www.rmbs.ruc.edu.cn/images/2022-10/5878c21bd7e746d4b655176aabd635ef.jpg,https://www.rmbs.ruc.edu.cn/szyky/sz/qzjs/fy/,讲师(助理教授),企业管理系,企业战略、组织与企业制度、社会责任、知识管理,企业战略管理、管理学原理、战略决策模拟、企业伦理与社会责任（英）,
高海兵,https://www.rmbs.ruc.edu.cn/images/2022-10/709e780518724437a107efda8c5b151b.jpg,https://www.rmbs.ruc.edu.cn/szyky/sz/qzjs/ghb/,副教授,市场营销系,社交营销、平台营销,"本科生：营销学原理（英），营销决策模型,研究生：营销前沿研究，实证模型专题",
高晓丹,https://www.rmbs.ruc.edu.cn/images/2022-10/99f99bb57c72453b89e61abf1354307e.jpg,https://www.rmbs.ruc.edu.cn/szyky/sz/qzjs/gxd/,副教授,财务与金融系,公司财务，宏观经济学,,
